年份,电影名,票房
2024,寒单,23.6
2024,天降大任,3208.4
2024,回西藏,78.4
2024,大雨,1728.6
2024,夜幕将至,59.2
2024,养蜂人,11414.6
2024,小行星猎人,237.9
2024,动物园里有什么？,10861.7
2024,烟火人间,80.9
2024,临时劫案,23734.8
2022,还是觉得你最好（,10787.3
2024,花千骨,655.4
2024,江豚·风时舞,768.2
2024,开心超人之时空营救,2585.3
2024,世界欠我一个你,59.9
2024,#,9408.6
2024,第二十条,245459.4
2024,热辣滚烫,346040.9
2024,飞驰人生2,339842.2
2024,#,27513.7
2024,熊出没·逆转时空,199994（至5-27）
2024,#,333（至2-18）
2024,阿盖尔：神秘特工,1540.8
2024,还是觉得你最好2,1786.5
2023,奥本海默（,45305.9
2021,沙丘（,26233.6
2024,陌路狂刀,47.2
2024,周处除三害,66568.1
2024,蜘蛛夫人：超感觉醒,581.7
2024,戏杀,861.3
2024,沙丘2,35248
2024,被我弄丢的你,21165.2
2024,孔秀,51.9
2024,灿烂的她,10027.7
2024,挑战,369.3
2024,功夫熊猫4,37366.2
2024,阿莫阿依,1275.4
2024,坠落的审判,2852.2
2024,哥斯拉大战金刚2：帝国崛起,95691.7
2024,银河写手,424.9
2024,你想活出怎样的人生,79108.4
2024,草木人间,12164.1
2024,雪豹,837.7
2024,黄雀在后！,10137.8
2024,零度极限,43
2024,大“反”派,5704.1
2024,白日之下,1219.7
2024,乘船而去,57.1
2024,来自汪星的你,608.7
2024,有你真好！,176.5
2024,出门在外,103.7
2024,冰雪女王5：融冰之战,936.8
2024,年少日记,1561.7
2024,疯狂星期一,45
2024,金的音像店,180
2024,数码宝贝02：最初的召唤,1326.6
2024,哈尔的移动城堡,16778.1
2024,间谍过家家 代号：白,29333.1
2024,九龙城寨之围城,68496.1
2024,末路狂花钱,78172.4
2024,#,5440（至5-19）
2024,维和防暴队,51168.6
2024,猪猪侠大电影·星际行动,5474.2
2024,妈妈和七天的时间,25.3
2024,猩球崛起：新世界,20935.7
2024,特技狂人,894.8
2024,彷徨之刃,8962.3
2024,朝云暮雨,1881
2024,即使这份爱今夜从世上消失,1789.3
2024,错过你的那些年,5253.2
2024,不能错过的只有你,7142.5
2024,你是我的英雄,1094.7
2024,最后的，最初的,148.1
2024,母亲的直觉,210.7
2024,三叉戟,2896.5
2024,盟军敢死队,519.7
2024,再会长江,865.6
2024,发小儿万岁,150.4
2024,朱同在三年级丢失了超能力,1508
2024,坂本龙一：杰作,480.5
2024,哆啦A梦：大雄的地球交响乐,13098.5
2024,泳者之心,579.9
2024,加菲猫家族,18470.5
2024,潜艇总动员：寻龙,3222.9
2024,疯狂的麦克斯：狂暴女神,6069.8
2024,美国内战,2322.3
2024,走走停停,10214.3
2024,扫黑·决不放弃,19260.4
2024,我才不要和你做朋友呢,20398.9
2024,谈判专家,15644.5
2024,机器人之梦,1175.5
2024,来福大酒店,5644
2024,离伤记,0.197
2024,狗阵,3268.6
2024,排球少年！！垃圾场决战,12871
2024,神秘友友,205.2
2024,来日皆方长,32.1
2024,没有颜色的关系,6
2024,头脑特工队2,34413.2
2024,沙漏,2933.7
2024,我们永远是我们,0.3
2024,海关战线,12926
2024,云边有个小卖部,49829.8
2024,寂静之地：入侵日,12953.3
2024,默杀,135127.8
2024,欢迎来到我身边,4555.1
2024,谯国夫人,1340.3
2024,脑洞大开,131.2
2024,伞少女,1910.9
2024,巧克力和酥油花,25.4
2024,神偷奶爸4,42396.3
2024,传说,7999.7
2024,落凡尘,3804.4
2024,二郎神之深海蛟龙,414.3
2024,抓娃娃,332751
2016,你的名字。（,71400
2024,龙卷风,2036.3
2024,喜羊羊与灰太狼之守护,9122.7
2024,死侍与金刚狼,43068.1
2024,异人之下,11874.3
2024,蓝色禁区：凪,3344.9
2024,寻秘自然：地球往事,148.1
2024,寻秘自然：无形之力,71.8
2024,解密,33455.8
2024,从21世纪安全撤离,11204.8
2024,逆行人生,35912.2
2024,白蛇：浮生,42504.2
2024,负负得正,7008.4
2024,异形：夺命舰,78633.8
2024,红楼梦之金玉良缘,600.9
2024,刺猬,14459.8
2024,航海王：强者天下,1245.6
2024,假如，我是这世上最爱你的人,1513
2024,姥姥的外孙,12685.9
2024,新龙门客栈,610.2
2024,倒仓,327.1
2024,爱情，到此为止,170.3
2024,密语者,22.1
2024,里斯本丸沉没,4736.9
2024,野孩子,24122.6
2024,大场面,1245.1
2024,出走的决心,12402.2
2024,一雪前耻,9385.1
2024,祝你幸福！,5994.7
2024,全员嫌疑人,2171.5
2024,奇妙萌可大电影,1113.8
2024,江南：在爱开始的地方等你,343.4
2024,非礼勿言,323.8
2024,荒野机器人,5186.6
2024,出入平安,2113.1
2024,我的爷爷,163.5
2024,富都青年,341.6
2024,踢出个未来,121.5
2024,门前宝地,150
2024,看不见的朋友,72.9
2024,变形金刚：起源,15229.5
2024,志愿军：存亡之战,120667.7
2024,危机航线,30040.8
2024,浴火之路,46193.9
2024,熊猫计划,30740.8
2002,哈利·波特与魔法石（,32452.8
2024,只此青绿,5190.3
2024,749局,37571.9
2024,绑架游戏,1615.7
2024,新大头儿子和小头爸爸6,2822.7
2024,爆款好人,2714.2
2024,小丑2：双重妄想,5409.1
2024,名侦探柯南：百万美元的五棱星,28600.1
2003,哈利·波特与密室（,9733.4
2024,今年二十二,601.7
2024,角斗士2,3968.4
2024,蓦然回首,5380.7
2024,毒液：最后一舞,68439
2024,小倩,1279.6
2024,鸳鸯楼·惊魂,12901.4
2024,爆裂鼓手,341.8
2024,魔法坏女巫,1464
2024,孤星计划,10205.8
2024,焚城,25879.3
2024,这个杀手不太冷,1736.9
2024,好东西,71324
2024,蜡笔小新：我们的恐龙日记,12671
2024,完美的日子,300.7
2024,乔妍的心事,15131.8
2024,因果报应,7834.5
2024,海洋奇缘2,11170.3
2024,破·地狱,21035（至1-31）
2024,雄狮少年2,8045（至1-31）
2024,狮子王：木法沙传奇,12298.1
2024,猎人克莱文,1310.9
2024,名侦探柯南：迷宫的十字路口,14718（至1-31）
2024,误判,27064（至1-31）
2024,小小的我,76536.4
2024,误杀3,93007（至1-31）
2024,窗前明月，咣！,3975.3
2024,“骗骗”喜欢你,44393.1
,,#
2024,帕丁顿熊3：秘鲁大冒险,4562.4
2025,火锅艺术家,5909.1
2025,小城季风,5.1
2025,刺猬索尼克3,4413.7
2025,假爸爸,4052.8
2025,大红包2：龙凤呈祥,237.5
2006,穿越时空的少女,819.9
2025,恶行之外,1532.3
2025,超级望望,25.6
2025,莫莉的冒险,35.6
2025,真爱找麻烦！,454.6
2025,射雕英雄传：侠之大者,68932.6
2025,封神第二部：战火西岐,123883.9
2025,哪吒之魔童闹海,1544603.3
2025,蛟龙行动,39004.5
2025,唐探1900,361238.4
2025,熊出没·重启未来,82049.6
2000,花样年华（,6164.9
2025,美国队长4,10406.2
2025,边海,31.2
2025,您的声音,7717.9
2025,你的颜色,1733.4
2025,诡才之道,4033.5
2025,初步举证,3538.5
2025,厨房,68.1
2025,猫猫的奇幻漂流,2842.5
2025,阴阳师0,278.1
2025,插翅难飞,128.3
2025,编号17,1620
2025,还有天明,4496.9
2025,平原上的火焰,1895.8
2025,想飞的女孩,1697.3
2025,天堂旅行团,6599.2
2025,潮,108.8
2025,疾速追杀4,5276.7
2025,武替道,8.7
2025,非标准恋爱,179.4
2025,白蛇传·情（,2416.7
2025,夜半凶宅,401.4
2025,真爱营业,1006.3
2025,久别·重逢,106.3
2025,援藏日记,199.8
1987,倩女幽魂（,2318.9
2025,白雪公主,931.9
2025,我会好好的,2491.2
2025,追幸福的人,94.7
2025,侏罗纪世界：重生,56725.3
2025,小白船,89.1
2019,东极岛,39685.2
2025,无名之辈：否极泰来,5191.6
2025,恶意,25391.3
2025,超人,6393.8
2025,聊斋：兰若寺,24350.5
2025,天宝,353.1
2025,爱的暂停键,152.4
2025,新三峡,940.4
2025,F1：狂飙飞车,44933
2025,家庭简史,31.6
2025,山河为证,4481.8
2025,坪石先生,255.4
2025,生还,476.7
2025,南京照相馆,301735.5
2025,夏雨来,2799.2
2025,营救飞虎,3313.6
2025,关于约会的一切,419.9
2025,别把作文当回事儿,61
2025,午夜怪谈2,211.9
2025,蜗牛回忆录,78
2025,汉斯·季默与朋友们：沙漠之钻,310.8
2025,奇遇,18789.2
2025,熊孩子·探险熊兵,182.2
2025,有朵云像你,5162.6
2025,7天,6227.8
2025,轻于鸿毛,1532.4
2025,花漾少女杀人事件,2892.2
2025,罗小黑战记2,53389
2025,魔法蓝精灵,509.9
2025,疯狂海盗团2,7.8
2025,你行！你上！,9085.4
2025,长安的荔枝,69120.7
2025,喜羊羊与灰太狼之异国破晓,6217.1
2025,戏台,41144.9
2025,浪浪山小妖怪,171922.2
2025,捕风追影,126578.9
2025,坏蛋联盟2,22732.5
2025,窗外是蓝星,5883.1
2025,731,194288.3
2025,浪浪人生,45632.8
2025,志愿军：浴血和平,64083.3
2025,风林火山,9660.6
2025,刺杀小说家2,38884.7
2025,毕正明的证明,8502.1
2025,三国的星空第一部,8771.8
2025,猪猪侠·一只老猪的逆袭,5767.5
2025,震耳欲聋,25713.4
2022,阿凡达：水之道（,170375.2
2025,疯狂电脑城,210.4
2025,女孩,470.7
2025,旁观者,231.8
2025,极地大冒险3,281.6
2025,日掛中天,2298.2
2025,铁血战士：杀戮之地,10957.7
2025,三滴血,2166.5
2025,我的世界没有我,1141.8
2025,惊天魔盗团3,28719.3
2025,鬼灭之刃：无限城篇,67805.5
2025,菜肉馄饨,2517.2
2025,开心岭,1083.5
2025,狂野时代,19104
2025,隐者山河,617.7
2025,疯狂动物城2,432110（至1-12）
2025,猎杀游戏,643.9
2025,我最特别的朋友,200.4
1957,控方证人,620.7
2025,得闲谨制,39730（至1-12）
2025,内幕,3066
2025,清算,261.7
2025,旺姆的夏天,35
2025,最恨我爱你,11.6
2011,赛德克·巴莱(上)（,212.8
2025,年轻母亲之家,21.9
2025,水草长生,5.4
2025,浪花朵朵,10.6
2011,赛德克·巴莱(下)（,144.2
2025,父辈的天空,782.6
2025,岁岁平安,63.7
2025,遥远的普若岗日,236. 9
2025,阿凡达：火与烬,104645（至1-12）
2025,魔法坏女巫2,503.7
2025,天堂附近,0.15
2025,点到为止,387.8
2025,寻秦记,24323（至1-12）
2015,山河故人（,3880.2
2025,匿杀,30670（至1-12）
2025,用武之地,6417（至1-12）
2025,星际变种,50.6
,,#
2022,李茂换太子,46241.5
2022,魔法精灵,620.6
2022,最初的梦想,1913.8
2022,魔法满屋,7668.2
2022,带你去见我妈,2370.9
2022,一江春水,225.5
2022,屋内有人,325.6
2022,萌鸡小队：萌闯新世界,3434.2
2022,农民院士,61
2021,黑客帝国：矩阵重启,8575.3
2022,东北虎,1691.7
2022,纹身,186.4
2020,花滑女王2：爸爸我爱你,74.6
2021,汪汪队立大功大电影,8250
2022,村里来了个洋媳妇,2.3
2022,向着明亮那方,171.4
2022,四海,54276.3
2022,奇迹·笨小孩,137920.3
2022,狙击手,60749.3
2022,长津湖之水门桥,406066.6
2022,这个杀手不太冷静,262262.1
2022,熊出没·重返地球,96777.7
2022,喜羊羊与灰太狼之筐出未来,16033.2
2022,小虎墩大英雄,2211.8
2022,十年一品温如言,16722.3
2021,京北的我们（,25.5
2022,好想去你的世界爱你,10840.4
2022,不要忘记我爱你,5602.2
2022,密案1922,333.3
2022,我们的冬奥,6479.5
2022,尼罗河上的惨案,6849.7
2022,只属于我们的一天,272.4
2022,花束般的恋爱,9411.4
2019,纽约的一个雨天,1270.3
2022,你是我的一束光,551.9
2022,我心飞扬,632.5
2022,大国粮仓,94
2022,柳浪闻莺,351.2
2022,心想念动,5.5
2022,如果有一天我将会离开你,430.4
2022,可不可以你也刚好喜欢我,1604.4
2022,暑期何漫漫,5.2
2018,妖怪手表：永远的朋友,82.7
2022,神秘海域,15139
2022,新蝙蝠侠,16324.9
2022,年少有你,16.5
2022,“炼”爱,42.3
2018,印度女孩,348.2
2022,花儿为什么这样红,675.7
2022,野夏天,65.2
2022,卧鼠藏虫,530
2022,安魂,9.2
2022,月球陨落,15840.5
2022,错乱空间,159.9
2021,密室逃生2,7719.7
2022,草原大作战,183.6
2022,精灵旅社4：变身大冒险,12373.8
2022,神奇动物：邓布利多之谜,19418.4
2020,诺亚方舟漂流记2,159.9
2019,致我的陌生恋人,912.2
2022,迷失1231,138.9
2015,误杀瞒天记,3149.2
2022,边缘行者,16647
2022,亡命救护车,1583.8
2022,邓小平小道,2509.1
2022,坏蛋联盟,33522.8
2022,我是真的讨厌异地恋,16518.3
2022,巨星嫁到,374.7
2022,唐顿庄园2,1296.6
2022,盒子的秘密,152.8
2022,青春是首歌,6
2022,刿心剑,20.5
2021,五个扑水的少年（,6912.6
2022,哆啦A梦：大雄的宇宙小战争2021,9917.2
2021,魔法鼠乐园（,419.5
2022,超级特战队,32.2
2022,暗恋·橘生淮南,13540.3
2020,阿里巴巴与神灯（,2220.7
2022,遇见你之后,1652.7
2022,侏罗纪世界3,105963.4
2022,天才计划,1154.7
2022,镜世界,230.8
2022,绿茵之外,118.3
2022,云霄之上,448.3
2022,一周的朋友,12165.3
2022,焚情,95.7
2022,回南天,21.6
2022,地瓜味的冰激凌,28.7
2022,人生大事,171231.4
2022,你是我的春天,3063.4
2022,地火,98.7
2022,珠峰队长,344.9
2022,隐入尘烟,10970（至9-18）
2022,神探大战,71210.4
2022,海底小纵队：洞穴大冒险,7761.8
2022,外太空的莫扎特,22394.7
2022,龙女孩,141.7
2022,冲出地球,1005.8
2022,开心超人之英雄的心,1656.3
2022,一直一直很喜欢你,2198.6
2022,阳光照耀塔什库尔干,4.6
2022,七人乐队,1564.6
2022,疯了！桂宝之三星夺宝,1262.5
2022,独行月球,310291.1
2022,小马宝莉：新世代,1720.5
2022,迷你世界之觉醒,2714.9
2022,遇见你,7832.7
2022,我们的样子像极了爱情,1615.8
2022,明日战记,67918.4
2022,猪猪侠大电影·海洋日记,2938.7
2022,漫长的告白,631.1
2022,永不妥协,447.7
2022,跳舞吧！爸爸,1.8
2022,猎屠,1255.7
2022,山海经之再见怪兽,3826.4
2022,断·桥,23247.7
2022,人间世,127.4
2022,新神榜：杨戬,55550.1
2022,小黄人大眼萌：神偷奶爸前传,23792.4
2022,秘密花园,15.7
2022,760号犯人,317.7
2022,世界上最爱我的人,764.1
2022,忠犬帕尔玛,691.4
2021,雀斑公主,1429.1
2022,爱情的代驾,64.2
2022,大白鲨之夺命鲨口,402.9
2022,我的非凡父母,617.9
2022,世间有她,5620.8
2022,海的尽头是草原,3611.6
2022,还是觉得你最好,10722.9
2022,狼群,2867.6
2022,哥，你好,54796.6
2022,妈妈！,7709.8
2022,青蛙王国之极限运动,1499.4
2022,追光,48.3
2022,我要和你在一起,528.2
2022,热汤,14.3
2022,我世界里的你,21.6
2022,平凡英雄,21552.2
2022,钢铁意志,10302.4
2022,万里归途,159314.8
2022,新灰姑娘2,3160.3
2022,我是霸王龙,3274.6
2022,新大头儿子和小头爸爸5,8277
2022,搜救,1999.1
2022,我的遗憾和你有关,3283.8
2022,扫黑行动,17473.3
2022,请叫我郑先生,117.7
2022,陪你在全世界长大,128.8
2022,天之书,140.4
2022,猫狗武林,366.1
2022,青蛙王子历险记2,399.6
2022,您好，北京,5038.5
2022,名侦探柯南：万圣节的新娘,20188.7
2022,让这首歌作证,45.5
2022,个十百千万,204.8
2022,坠落,2643.5
2022,天下无伤,1.3
2022,忍者神龟：崛起,390.4
2020,杀掉那个魔术师,303.8
2022,沼泽深处的女孩,795.9
2021,不要再见啊，鱼花塘,86
2022,因爱而伟大,77.7
2022,航海王：红发歌姬,18540.2
2004,放牛班的春天（,798
2019,小小乔,14.6
2020,2067,78
2022,阿凡达：水之道,169755.4
2021,龙马！新生网球王子,17.1
2022,唬胆特工,320.6
2022,穿靴子的猫2,4671.8
2022,想见你,40347.5
2022,西游记之七十二变,829.7
2022,绝望主夫,31355.9
2021,小破孩大状元,171.8
2021,海底小纵队：火焰之环,5318.7
2021,老爷保号,299.7
2019,点点星光,617.9
2021,京北的我们,14
2021,长安伏妖,306.6
2021,没有过不去的年,5137.8
2021,叱咤风云,501
2021,许愿神龙,16811.9
2021,缉魂,11094
2020,天后小助理,20.4
2019,与我跳舞,66.7
2021,武汉日夜,2393.7
2018,指挥家,135
2021,大红包,23370.3
2021,幸运电梯,105.7
2019,小伟,144.4
2021,魔法鼠乐园,319.6
2021,吉祥如意,1359.9
2021,移情高手,151.6
2018,温泉屋的小老板娘,877.3
2018,蜂鸟计划,325.7
2021,出手吧！女生,35.2
2021,唐人街探案3,452234.3
2021,刺杀小说家,103523
2021,侍神令,27406.9
2021,你好，李焕英,541330.3
2021,人潮汹涌,76247.6
2021,熊出没·狂野大陆,59655.2
2021,新神榜：哪吒重生,45648.9
2021,郊区的鸟,60.2
2021,猫和老鼠,10479
2021,千顷澄碧的时代,906.2
2021,寻龙传说,12753
2021,错爱迷踪,527
2021,风吹浪涌,32.5
2021,合法伴侣,1069.4
2021,五尺天涯,685.7
2021,边境迷雾,13.8
2010,阿凡达（,171545.2（总计）
2020,波斯语课,3632.3
2021,日不落酒店,1953.8
2020,又见奈良,502.1
2019,21座桥,2862.4
2021,非正式爱情,215.3
2021,哥斯拉大战金刚,123261.5
2021,圣山村谜局,445.5
2021,我的姐姐,86018.4
2021,第十一回,7397.7
2021,西游记之再世妖王,11238.6
2021,明天会好的,3056.2
2021,生生,10.6
2021,进城记,266.1
2021,小美人鱼的奇幻冒险,1167.8
2021,奇异世界历险记,269.1
2021,超级的我,938.9
2021,工作细胞：细胞大作战,757.5
2002,指环王1：护戒使者（,6079.8
2021,八月未央,6795.3
